STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-08,0,",,7,0730",0,",,7,",0,",,7,",91,",,7",65,",,7",70,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-09,0.04,",,7,0730",0,",,7,",0,",,7,",89,",,7",67,",,7",67,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-10,0,",,7,0730",0,",,7,",0,",,7,",77,",,7",48,",,7",49,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-11,0,",,7,0730",0,",,7,",0,",,7,",80,",,7",49,",,7",58,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-12,0.13,",,7,0730",0,",,7,",0,",,7,",65,",,7",49,",,7",49,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-13,0.01,",,7,0730",0,",,7,",0,",,7,",58,",,7",42,",,7",44,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-14,0,",,7,0730",0,",,7,",0,",,7,",68,",,7",42,",,7",42,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-15,0,",,7,0730",0,",,7,",0,",,7,",77,",,7",42,",,7",54,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-16,0,",,7,0730",0,",,7,",0,",,7,",83,",,7",49,",,7",49,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-17,0,",,7,0730",0,",,7,",0,",,7,",84,",,7",49,",,7",51,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-18,0,",,7,0730",0,",,7,",0,",,7,",84,",,7",51,",,7",64,",,7,0730",1,",,7",1,",,7",,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-19,0.87,",,7,0730",0,",,7,",0,",,7,",81,",,7",64,",,7",65,",,7,0730",1,",,7",1,",,7",,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-20,0.08,",,7,0730",0,",,7,",0,",,7,",71,",,7",43,",,7",44,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-21,0,",,7,0730",0,",,7,",0,",,7,",71,",,7",44,",,7",46,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-22,0,",,7,0730",0,",,7,",0,",,7,",73,",,7",43,",,7",43,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-23,0,",,7,0730",0,",,7,",0,",,7,",78,",,7",43,",,7",46,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-24,0,",,7,0730",0,",,7,",0,",,7,",79,",,7",46,",,7",48,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-25,0,",,7,0730",0,",,7,",0,",,7,",80,",,7",48,",,7",59,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-26,0,",,7,0730",0,",,7,",0,",,7,",79,",,7",59,",,7",61,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-27,0,",,7,0730",0,",,7,",0,",,7,",77,",,7",53,",,7",55,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-28,0,",,7,0730",0,",,7,",0,",,7,",78,",,7",53,",,7",64,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-29,0,",,7,0730",0,",,7,",0,",,7,",80,",,7",61,",,7",61,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-09-30,0.04,",,7,0730",0,",,7,",0,",,7,",73,",,7",48,",,7",48,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-01,0,",,7,0730",0,",,7,",0,",,7,",65,",,7",45,",,7",45,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-02,0,",,7,0730",0,",,7,",0,",,7,",61,",,7",45,",,7",45,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-03,0,",,7,0730",0,",,7,",0,",,7,",58,",,7",45,",,7",45,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-04,0.1,",,7,0730",0,",,7,",0,",,7,",50,",,7",45,",,7",49,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-05,0,"T,,7,0730",0,",,7,",0,",,7,",60,",,7",49,",,7",56,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-06,0,"T,,7,0730",0,",,7,",0,",,7,",73,",,7",52,",,7",54,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-07,0,",,7,0730",0,",,7,",0,",,7,",69,",,7",50,",,7",50,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-08,0,",,7,0730",0,",,7,",0,",,7,",74,",,7",43,",,7",47,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-09,0.03,",,7,0730",0,",,7,",0,",,7,",76,",,7",47,",,7",59,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-10,0,",,7,0730",0,",,7,",0,",,7,",61,",,7",37,",,7",37,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-11,0,",,7,0730",0,",,7,",0,",,7,",66,",,7",37,",,7",44,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-12,0,",,7,0730",0,",,7,",0,",,7,",76,",,7",44,",,7",50,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-13,0,"T,,7,0730",0,",,7,",0,",,7,",76,",,7",50,",,7",52,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-14,0,"T,,7,0730",0,",,7,",0,",,7,",58,",,7",49,",,7",50,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-15,0.02,",,7,0730",0,",,7,",0,",,7,",59,",,7",36,",,7",42,",,7,0730",1,",,7",,,,,,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-16,0.02,",,7,0730",0,",,7,",0,",,7,",62,",,7",37,",,7",38,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-17,0,"T,,7,0730",0,",,7,",0,",,7,",54,",,7",27,",,7",32,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-18,0,"T,,7,0730",0,"T,,7,",0,",,7,",47,",,7",27,",,7",31,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-19,0,",,7,0730",0,",,7,",0,",,7,",52,",,7",29,",,7",31,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-20,0,",,7,0730",0,",,7,",0,",,7,",67,",,7",31,",,7",53,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-21,0.02,",,7,0730",0,",,7,",0,",,7,",75,",,7",53,",,7",53,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-22,0.01,",,7,0730",0,",,7,",0,",,7,",74,",,7",52,",,7",59,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-23,0,",,7,0730",0,",,7,",0,",,7,",66,",,7",41,",,7",42,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-24,0.33,",,7,0730",0,",,7,",0,",,7,",63,",,7",40,",,7",51,",,7,0730",1,",,7",,,,,,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-25,0.17,",,7,0730",0,",,7,",0,",,7,",69,",,7",45,",,7",46,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-26,0,",,7,0730",0,",,7,",0,",,7,",62,",,7",33,",,7",33,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-27,0,",,7,0730",0,",,7,",0,",,7,",61,",,7",33,",,7",42,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-28,0.9,",,7,0730",0,",,7,",0,",,7,",58,",,7",42,",,7",52,",,7,0730",1,",,7",,,,,,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-29,0.34,",,7,0730",0,",,7,",0,",,7,",62,",,7",37,",,7",37,",,7,0730",1,",,7",,,,,,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-30,0.02,",,7,0730",0,",,7,",0,",,7,",44,",,7",37,",,7",40,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-10-31,0,"T,,7,0730",0,",,7,",0,",,7,",51,",,7",36,",,7",40,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-01,0.12,",,7,0730",0,",,7,",0,",,7,",52,",,7",40,",,7",48,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-02,0,",,7,0730",0,",,7,",0,",,7,",65,",,7",34,",,7",35,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-03,0,",,7,0730",0,",,7,",0,",,7,",71,",,7",35,",,7",40,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-04,0,",,7,0730",0,",,7,",0,",,7,",77,",,7",40,",,7",41,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-05,0,",,7,0730",0,",,7,",0,",,7,",78,",,7",41,",,7",56,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-06,0.23,",,7,0730",0,",,7,",0,",,7,",73,",,7",56,",,7",58,",,7,0730",1,",,7",,,,,,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-07,0,"T,,7,0730",0,",,7,",0,",,7,",60,",,7",42,",,7",42,",,7,0730",,,,,,,,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-08,0,"T,,7,0730",0,",,7,",0,",,7,",53,",,7",27,",,7",27,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-09,0,",,7,0730",0,",,7,",0,",,7,",52,",,7",25,",,7",25,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-10,0.3,",,7,0730",0,",,7,",0,",,7,",57,",,7",25,",,7",43,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-11,0.05,",,7,0730",0,",,7,",0,",,7,",47,",,7",30,",,7",30,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-12,0.09,",,7,0730",0,",,7,",0,",,7,",57,",,7",30,",,7",53,",,7,0730",1,",,7",,,,,,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-13,0.15,",,7,0730",0,"T,,7,",0,",,7,",53,",,7",38,",,7",40,",,7,0730",,,,,1,",,7",,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-14,0.03,",,7,0730",0,"T,,7,",0,",,7,",43,",,7",31,",,7",31,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-15,0,",,7,0730",0,",,7,",0,",,7,",52,",,7",31,",,7",36,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-16,0,",,7,0730",0,",,7,",0,",,7,",67,",,7",31,",,7",31,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-17,0,",,7,0730",0,",,7,",0,",,7,",63,",,7",31,",,7",39,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-18,0,"T,,7,0730",0,",,7,",0,",,7,",62,",,7",39,",,7",57,",,7,0730",1,",,7",1,",,7",,,,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-19,0.24,",,7,0730",0,",,7,",0,",,7,",64,",,7",47,",,7",47,",,7,0730",,,,,,,,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-20,0,",,7,0730",0,",,7,",0,",,7,",52,",,7",29,",,7",30,",,7,0730",,,,,,,,,,,1,",,7"
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-21,0.03,",,7,0730",0.4,",,7,",0,"T,,7,",47,",,7",29,",,7",32,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-22,0.77,",,7,0730",9.2,",,7,",8,",,7,",32,",,7",23,",,7",23,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-23,0,"T,,7,0730",0,"T,,7,",6,",,7,",33,",,7",15,",,7",21,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-24,0,"T,,7,0730",0.1,",,7,",5,",,7,",32,",,7",19,",,7",20,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-25,0,",,7,0730",0,",,7,",2,",,7,",43,",,7",20,",,7",24,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-26,0.04,",,7,0730",0,",,7,",0,"T,,7,",55,",,7",24,",,7",47,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-27,0.16,",,7,0730",0,",,7,",0,",,7,",61,",,7",47,",,7",53,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-28,0.45,",,7,0730",0,"T,,7,",0,",,7,",54,",,7",33,",,7",33,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-29,0,",,7,0730",0,",,7,",0,",,7,",37,",,7",19,",,7",19,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-11-30,0,",,7,0730",0,",,7,",0,",,7,",40,",,7",19,",,7",29,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-01,0.02,",,7,0730",0,",,7,",0,",,7,",48,",,7",29,",,7",41,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-02,0.04,",,7,0730",0,",,7,",0,",,7,",48,",,7",24,",,7",24,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-03,0.11,",,7,0730",0.2,",,7,",0,",,7,",42,",,7",24,",,7",34,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-04,0,",,7,0730",0,",,7,",0,",,7,",45,",,7",33,",,7",34,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-05,0,",,7,0730",0,",,7,",0,",,7,",47,",,7",25,",,7",27,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-06,0,",,7,0730",0,",,7,",0,",,7,",35,",,7",27,",,7",28,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-07,0,",,7,0730",0,",,7,",0,",,7,",35,",,7",25,",,7",26,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-08,0.01,",,7,0730",0,",,7,",0,",,7,",50,",,7",26,",,7",36,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-09,0,"T,,7,0730",0,",,7,",0,",,7,",44,",,7",33,",,7",35,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-10,0,",,7,0730",0,",,7,",0,",,7,",50,",,7",31,",,7",38,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-11,0,",,7,0730",0,",,7,",0,",,7,",54,",,7",38,",,7",43,",,7,0730",,,,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-12,0,"T,,7,0730",0,",,7,",0,",,7,",56,",,7",42,",,7",48,",,7,0730",1,",,7",,,,,,,,,,
USC00200228,"ANN ARBOR SE, MI US",42.2416,-83.6933,253.6,2015-12-13,0.01,",,7,0730",0,",,7,",0,",,7,",62,",,7",48,",,7",57,",,7,0730",1,",,7",,,,,,,,,,
